------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:40:40 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

1,1,0,44,1,79.7067,76.2681,87.1126,0,0,0,0
------ Begin Next Fly'm ------


"Begin Fly'm (Mon Jun 17 14:41:08 2024)"
"Ions Flown Separately, Comp Quality(3)"
"Number of Ions to Fly = 500"
"Changes:","Mass","Charge","X","Y","Z","KE","Azm","Elv","Time of Birth"
" ","NO ","NO ","YES","YES","YES","NO ","NO ","NO ","NO "


"Ion N","Events","TOF","Mass","Charge","X","Y","Z","Vt","Azm","Elv","KE Error"

91,1,0,44,1,79.8563,77.3459,87.7888,0,0,0,0
91,16,291625,44,1,80.5491,85.9657,3.25849e-007,0.000340018,89.5087,5.83132,2.41903e-011
92,1,0,44,1,79.2604,77.7098,89.4333,0,0,0,0
92,16,268919,44,1,75.397,89.2339,2.68277e-007,0.000376164,92.5511,7.61998,3.34176e-011
93,1,0,44,1,78.7741,77.1937,88.6414,0,0,0,0
93,16,279787,44,1,71.3554,84.8033,4.2831e-007,0.000358172,94.9537,5.08164,1.03536e-011
94,1,0,44,1,79.6647,78.3573,90.3577,0,0,0,0
94,16,258788,44,1,78.7753,95.0158,9.42325e-007,0.000396889,90.5663,10.8398,1.58171e-011
95,1,0,44,1,79.1292,76.6279,88.8552,0,0,0,0
95,16,274676,44,1,74.3689,80.0426,4.66812e-007,0.000364178,93.1683,2.28552,3.28998e-011
96,1,0,44,1,80.5892,77.6784,87.8914,0,0,0,0
96,16,292200,44,1,86.701,88.7824,1.95464e-007,0.000341139,85.8429,7.46591,3.12183e-011
97,1,0,44,1,78.3068,77.6738,90.897,0,0,0,0
97,16,251097,44,1,66.9136,89.2073,6.15812e-007,0.000410912,97.401,7.44503,5.07471e-011
98,1,0,44,1,80.6076,76.5355,86.5472,0,0,0,0
98,16,310648,44,1,86.791,79.2108,1.26953e-006,0.000314742,85.7263,1.83904,1.5728e-011
99,1,0,44,1,80.1457,75.936,86.6459,0,0,0,0
99,16,308064,44,1,82.9809,74.3096,1.65319e-006,0.000317124,88.0281,-1.11634,6.63402e-012
100,1,0,44,1,79.7255,75.7115,89.2057,0,0,0,0
100,16,269098,44,1,79.379,72.3572,1.31203e-006,0.000372568,90.2117,-2.23603,1.99758e-011
101,1,0,44,1,79.8218,76.9255,90.2141,0,0,0,0
101,16,255427,44,1,80.1437,82.6011,1.24407e-006,0.000396848,89.7684,3.74102,3.01097e-011
102,1,0,44,1,79.1862,74.5613,90.6205,0,0,0,0
102,16,252931,44,1,74.6388,62.3435,1.62255e-006,0.000405084,92.9667,-7.95941,2.65928e-011
103,1,0,44,1,78.8316,76.3066,89.2572,0,0,0,0
103,16,269294,44,1,71.7993,77.3575,1.22267e-007,0.000373221,94.6632,0.700358,1.50637e-011
104,1,0,44,1,81.037,75.4262,88.0856,0,0,0,0
104,16,288100,44,1,90.4441,70.0036,1.72275e-007,0.000345917,83.6416,-3.63914,2.3922e-011
105,1,0,44,1,77.9092,77.1733,88.0727,0,0,0,0
105,16,291699,44,1,64.0527,84.634,2.55437e-007,0.000343874,99.2758,4.96966,2.24853e-011
106,1,0,44,1,78.3734,75.6505,87.5345,0,0,0,0
106,16,296848,44,1,68.149,71.8974,1.5404e-006,0.000333952,96.9093,-2.53341,1.89753e-011
107,1,0,44,1,79.9005,75.1709,87.93,0,0,0,0
107,16,288845,44,1,80.9123,67.9304,1.3453e-006,0.000343398,89.2936,-4.89248,4.11545e-011
108,1,0,44,1,81.1968,76.5026,89.3918,0,0,0,0
108,16,268852,44,1,91.8657,79.0079,1.89734e-007,0.000375562,82.9097,1.65725,1.35777e-011
109,1,0,44,1,78.4387,75.0209,86.4044,0,0,0,0
109,16,316322,44,1,68.8523,66.7687,5.67898e-007,0.000310498,96.5679,-5.63825,9.6314e-012
110,1,0,44,1,79.8356,76.0718,89.8064,0,0,0,0
110,16,260288,44,1,80.2817,75.3745,1.14033e-006,0.000387289,89.685,-0.460277,4.11006e-011
111,1,0,44,1,79.2192,74.9185,87.4476,0,0,0,0
111,16,297592,44,1,75.2497,65.8549,4.2316e-007,0.000332448,92.6835,-6.14526,1.79308e-011
112,1,0,44,1,80.2226,76.3968,90.0243,0,0,0,0
112,16,257700,44,1,83.567,78.1188,5.63165e-008,0.000392263,87.77,1.13958,3.66887e-011
113,1,0,44,1,78.4203,75.0231,89.0433,0,0,0,0
113,16,275267,44,1,68.2557,66.5043,6.65175e-007,0.000366605,96.7504,-5.63895,3.63936e-011
114,1,0,44,1,81.3026,76.5131,90.1694,0,0,0,0
114,16,258356,44,1,92.8384,79.1128,1.11269e-007,0.000394193,82.4102,1.70235,2.4825e-011
115,1,0,44,1,81.1417,75.9946,87.9535,0,0,0,0
115,16,289738,44,1,91.2964,74.7503,8.63686e-007,0.000343262,83.1325,-0.835243,2.98116e-011
116,1,0,44,1,80.1351,75.6072,87.0292,0,0,0,0
116,16,302253,44,1,82.8861,71.599,9.78081e-007,0.000324698,88.0946,-2.73984,2.92745e-011
117,1,0,44,1,80.7496,75.5404,88.6522,0,0,0,0
117,16,278588,44,1,88.042,70.9259,3.52295e-007,0.000359031,85.0915,-3.0842,1.72773e-011
118,1,0,44,1,79.6174,76.2523,90.5729,0,0,0,0
118,16,250107,44,1,78.3786,76.8973,1.86587e-006,0.000406176,90.7953,0.425718,1.21834e-011
119,1,0,44,1,79.1072,74.6335,90.1058,0,0,0,0
119,16,259715,44,1,74.0181,63.0671,1.82513e-006,0.000392299,93.3411,-7.58222,3.85271e-011
120,1,0,44,1,78.4325,77.9271,86.473,0,0,0,0
120,16,317936,44,1,68.7528,90.7233,6.58656e-007,0.000310687,96.6253,8.69718,1.40971e-011
121,1,0,44,1,79.8142,77.9034,89.9705,0,0,0,0
121,16,261789,44,1,80.0887,90.9553,1.68696e-006,0.000388844,89.7986,8.57142,4.6014e-011
122,1,0,44,1,78.4192,77.7044,87.4916,0,0,0,0
122,16,300303,44,1,68.4879,88.996,4.80168e-007,0.00033175,96.7153,7.59434,2.47662e-011
123,1,0,44,1,80.5544,77.2618,90.8799,0,0,0,0
123,16,248044,44,1,86.4275,85.5499,1.78991e-006,0.000412749,86.1411,5.39965,3.72578e-011
124,1,0,44,1,78.9358,76.4667,90.519,0,0,0,0
124,16,251744,44,1,72.5287,78.7325,2.59853e-007,0.000404192,94.1876,1.48678,1.26004e-011
125,1,0,44,1,80.0926,76.6314,87.5749,0,0,0,0
125,16,293454,44,1,82.518,80.021,1.69117e-006,0.000336177,88.3287,2.30615,1.60567e-011
126,1,0,44,1,79.1484,76.8145,90.4082,0,0,0,0
126,16,253140,44,1,74.3711,81.6821,1.17571e-006,0.000401507,93.1237,3.19766,3.53353e-011
127,1,0,44,1,80.2983,75.9762,87.6346,0,0,0,0
127,16,292507,44,1,84.2288,74.6174,1.56033e-006,0.000337459,87.3079,-0.921028,1.14659e-011
128,1,0,44,1,80.1806,75.6252,90.5482,0,0,0,0
128,16,250899,44,1,83.2142,71.5431,8.22646e-007,0.000405254,87.9878,-2.6771,1.75357e-011
129,1,0,44,1,78.4064,77.7613,89.4007,0,0,0,0
129,16,271768,44,1,68.0421,89.7441,1.34096e-006,0.00037398,96.8528,7.87408,2.73159e-011
130,1,0,44,1,79.2651,75.6947,87.6703,0,0,0,0
130,16,292242,44,1,75.629,72.2859,1.77803e-006,0.000338054,92.45,-2.31172,1.67837e-011
131,1,0,44,1,79.899,77.0755,89.9691,0,0,0,0
131,16,259079,44,1,80.8111,83.8628,3.06126e-007,0.000390579,89.3769,4.48292,4.862e-011
132,1,0,44,1,78.4584,75.9068,87.95,0,0,0,0
132,16,289765,44,1,68.8128,74.0214,8.05551e-007,0.000343147,96.4887,-1.26736,3.02172e-011
133,1,0,44,1,78.0391,75.5555,87.7925,0,0,0,0
133,16,294465,44,1,65.245,71.0712,1.73636e-006,0.000338626,98.6023,-3.00527,9.84471e-012
134,1,0,44,1,79.6225,76.8511,88.6301,0,0,0,0
134,16,277817,44,1,78.5408,81.8956,1.52778e-006,0.000359102,90.7067,3.3874,1.30716e-011
135,1,0,44,1,78.6214,76.5909,86.0337,0,0,0,0
